name,Date,State,WindinStudy,BR,SH,LoadinStudy,912L,174L
Alt1259,Feb-31,9L20,851.9840345,0,450,1790.68,-7.178980827,-38.0625267
Alt1260,Feb-31,9L20,835.0208955,0,450,1817.36,-3.455627441,-29.08131218
Alt1261,Feb-31,9L20,766.218504,0,450,1816.91,3.87750268,-20.58636093
Alt1262,Feb-31,9L20,672.7261195,448.7634277,450,1808.73,13.75809956,-11.98053932
Alt1263,Feb-31,9L20,558.04111,450,450,1800.31,26.27940559,3.117429972
Alt1264,Feb-31,9L20,583.9962559,450,450,1799.69,23.80149269,5.249364376
Alt1265,Feb-31,9L20,661.5727162,450,450,1792.42,16.81757927,3.205075741
Alt1266,Feb-31,9L20,782.0956621,450,450,1800.8,4.396737576,-9.502880096
Alt1267,Feb-31,9L20,933.2046237,450,450,1813.73,-8.973766327,-20.4500885
Alt1268,Feb-31,9L20,1222.905696,450,450,1828.37,-35.91890335,-45.4924736
Alt1269,Feb-31,9L20,1465.64971,450,450,1861.59,-51.91044235,-55.53487396
Alt1270,Feb-31,9L20,1720.765285,450,450,1851.94,-71.32639313,-77.07472992
Alt1271,Feb-31,9L20,2003.047937,295.7460632,380.7692261,1865.64,-75.63037872,-71.63468933
Alt1272,Feb-31,9L20,2128.440579,0,127.0591736,1848.91,-55.29465485,-45.51145935
Alt1273,Feb-31,9L20,2196.546683,0,0,1829.95,-53.79491806,-44.67672729
Alt1274,Feb-31,9L20,2248.815439,0,0,1805.51,-60.58724594,-49.54232788
Alt1275,Feb-31,9L20,2261.926446,0,0,1789.43,-63.50508881,-53.11268616
Alt1276,Feb-31,9L20,2282.148352,0,0,1768.65,-66.28076172,-59.48317337
Alt1277,Feb-31,9L20,2324.997853,0,0,1765.28,-69.83482361,-61.99713898
Alt1278,Feb-31,9L20,2318.235562,0,0,1772.26,-69.23177338,-58.29389191
Alt1279,Feb-31,9L20,2337.038662,0,0,1775.84,-71.08889008,-59.50692749
Alt1280,Feb-31,9L20,2301.008424,0,0,1779.17,-70.09866333,-60.1857605
Alt1281,Feb-31,9L20,2167.4122,0,0,1786.21,-59.34081268,-49.32862091
Alt1282,Feb-31,9L20,2063.147702,0,0,1765.6,-52.82663727,-42.85478973
Alt1283,Feb-31,9L20,2000.950184,0,0,1764.73,-47.77389526,-38.70019531
Alt1284,Feb-31,9L20,1828.630345,0,0,1781.64,-36.26094818,-36.91129684
